,WELL,WELL_HEAD,lat,lon,Drilling Operator,Purpose,Completion Year,Formation,Dataset,probs_str,cluster,plot_size,cluster1_prob,cluster2_prob,cluster3_prob
0,15/9-13,15/9-13,58.37387800000001,1.934128,Den norske stats oljeselskap a.s,APPRAISAL,1982.0,ZECHSTEIN GP        ,Train,"['0.0', '1.0', '0.0']",2,75.0,0.0,1.0,0.0
1,15/9-15,15/9-15,58.302069,1.922131,Den norske stats oljeselskap a.s,WILDCAT,1982.0,SKAGERRAK FM        ,Train,"['0.0', '1.0', '0.0']",2,75.0,0.0,1.0,0.0
2,15/9-17,15/9-17,58.44560799999999,1.948217,Den norske stats oljeselskap a.s,WILDCAT,1983.0,SMITH BANK FM       ,Train,"['0.0', '1.0', '0.0']",2,75.0,0.0,1.0,0.0
3,16/1-2,16/1-2,58.935894,2.222239,Esso Exploration and Production Norway A/S,APPRAISAL,1976.0,BASEMENT            ,Train,"['0.0', '1.0', '0.0']",2,74.99999999946843,0.0,1.0,0.0
4,16/1-6 A,16/1-6,58.991097,2.295297,Statoil ASA (old),WILDCAT,2003.0,TOR FM              ,Train,"['0.0', '1.0', '0.0']",2,74.99999999726045,0.0,1.0,0.0
5,16/10-1,16/10-1,58.056578,2.053903,Norsk Agip AS,WILDCAT,1986.0,ZECHSTEIN GP        ,Train,"['0.0', '1.0', '0.0']",2,75.0,0.0,1.0,0.0
6,16/10-2,16/10-2,58.140717,2.037475,Norsk Agip AS,WILDCAT,1991.0,SKAGERRAK FM        ,Train,"['0.0', '1.0', '0.0']",2,75.0,0.0,1.0,0.0
7,16/10-3,16/10-3,58.221817,2.326194,Norsk Agip AS,WILDCAT,1996.0,SMITH BANK FM       ,Train,"['0.0', '1.0', '0.0']",2,75.0,0.0,1.0,0.0
8,16/10-5,16/10-5,58.00099399999999,2.1321,Talisman Energy Norge AS,WILDCAT,2012.0,BRYNE FM            ,Train,"['0.0', '1.0', '0.0']",2,75.0,0.0,1.0,0.0
9,16/11-1 ST3,16/11-1,58.067778,2.568889,,,,,Train,"['0.0', '1.0', '0.0']",2,75.0,0.0,1.0,0.0
10,16/2-11 A,16/2-11,58.803628,2.5722,Lundin Norway AS,APPRAISAL,2012.0,SKAGERRAK FM        ,Train,"['0.0', '1.0', '0.0']",2,74.99999999973213,0.0,1.0,0.0
11,16/2-16,16/2-16,58.850317,2.597375,Lundin Norway AS,APPRAISAL,2012.0,ROTLIEGEND GP       ,Train,"['0.0', '1.0', '0.0']",2,74.99999999908972,0.0,1.0,0.0
12,16/2-6,16/2-6,58.823683,2.615211,Lundin Norway AS,WILDCAT,2010.0,ZECHSTEIN GP        ,Train,"['0.0', '1.0', '0.0']",2,74.9999999994357,0.0,1.0,0.0
13,16/4-1,16/4-1,58.638425,2.138064,Norsk Hydro Produksjon AS,WILDCAT,1984.0,BASEMENT            ,Train,"['0.0', '1.0', '0.0']",2,74.99999999999967,0.0,1.0,0.0
14,16/5-3,16/5-3,58.731653,2.5579560000000003,Statoil Petroleum AS,APPRAISAL,2013.0,ZECHSTEIN GP        ,Train,"['0.0', '1.0', '0.0']",2,74.99999999995387,0.0,1.0,0.0
15,16/7-4,16/7-4,58.286042,2.025019,Esso Exploration and Production Norway A/S,WILDCAT,1982.0,SKAGERRAK FM        ,Train,"['0.0', '1.0', '0.0']",2,75.0,0.0,1.0,0.0
16,16/7-5,16/7-5,58.35175,2.082267,Esso Exploration and Production Norway A/S,WILDCAT,1984.0,SMITH BANK FM       ,Train,"['0.0', '1.0', '0.0']",2,75.0,0.0,1.0,0.0
17,16/8-1,16/8-1,58.456889,2.432444,Conoco Norway Inc.,WILDCAT,1976.0,SMITH BANK FM       ,Train,"['0.0', '1.0', '0.0']",2,75.0,0.0,1.0,0.0
