WELL,WELL_HEAD,lat,lon,Drilling Operator,Purpose,Completion Year,Formation,Dataset
15/9-13,15/9-13,58.373878000000005,1.9341279999999998,Den norske stats oljeselskap a.s,APPRAISAL,1982.0,ZECHSTEIN GP        ,Train
15/9-15,15/9-15,58.302068999999996,1.922131,Den norske stats oljeselskap a.s,WILDCAT,1982.0,SKAGERRAK FM        ,Train
15/9-17,15/9-17,58.44560799999999,1.9482169999999999,Den norske stats oljeselskap a.s,WILDCAT,1983.0,SMITH BANK FM       ,Train
16/1-2,16/1-2,58.935894,2.222239,Esso Exploration and Production Norway A/S,APPRAISAL,1976.0,BASEMENT            ,Train
16/1-6 A,16/1-6,58.991096999999996,2.295297,Statoil ASA (old),WILDCAT,2003.0,TOR FM              ,Train
16/10-1,16/10-1,58.056578,2.053903,Norsk Agip AS,WILDCAT,1986.0,ZECHSTEIN GP        ,Train
16/10-2,16/10-2,58.140717,2.037475,Norsk Agip AS,WILDCAT,1991.0,SKAGERRAK FM        ,Train
16/10-3,16/10-3,58.221817,2.3261939999999997,Norsk Agip AS,WILDCAT,1996.0,SMITH BANK FM       ,Train
16/10-5,16/10-5,58.00099399999999,2.1321,Talisman Energy Norge AS,WILDCAT,2012.0,BRYNE FM            ,Train
16/11-1 ST3,16/11-1,58.067778000000004,2.568889,,,,,Train
16/2-11 A,16/2-11,58.803628,2.5722,Lundin Norway AS,APPRAISAL,2012.0,SKAGERRAK FM        ,Train
16/2-16,16/2-16,58.850317000000004,2.597375,Lundin Norway AS,APPRAISAL,2012.0,ROTLIEGEND GP       ,Train
16/2-6,16/2-6,58.823682999999996,2.615211,Lundin Norway AS,WILDCAT,2010.0,ZECHSTEIN GP        ,Train
16/4-1,16/4-1,58.638425,2.138064,Norsk Hydro Produksjon AS,WILDCAT,1984.0,BASEMENT            ,Train
16/5-3,16/5-3,58.731653,2.5579560000000003,Statoil Petroleum AS,APPRAISAL,2013.0,ZECHSTEIN GP        ,Train
16/7-4,16/7-4,58.286042,2.025019,Esso Exploration and Production Norway A/S,WILDCAT,1982.0,SKAGERRAK FM        ,Train
16/7-5,16/7-5,58.35175,2.082267,Esso Exploration and Production Norway A/S,WILDCAT,1984.0,SMITH BANK FM       ,Train
16/8-1,16/8-1,58.456889000000004,2.432444,Conoco Norway Inc.,WILDCAT,1976.0,SMITH BANK FM       ,Train
17/11-1,17/11-1,58.21,3.343028,A/S Norske Shell,WILDCAT,1968.0,ZECHSTEIN GP        ,Train
25/11-15,25/11-15,59.18430600000001,2.484394,Norsk Hydro Produksjon AS,WILDCAT,1991.0,STATFJORD GP        ,Train
25/11-19 S,25/11-19,59.213467,2.401911,Esso Exploration and Production Norway A/S,APPRAISAL,1995.0,STATFJORD GP        ,Train
25/11-5,25/11-5,59.202589,2.365439,Esso Exploration and Production Norway A/S,WILDCAT,1974.0,NO GROUP DEFINED    ,Train
25/2-13 T4,25/2-13,59.793803000000004,2.453478,,,,,Train
25/2-14,25/2-14,59.764867,2.5897330000000003,Elf Petroleum Norge AS,APPRAISAL,1991.0,STATFJORD GP        ,Train
25/2-7,25/2-7,59.905668999999996,2.640519,Elf Petroleum Norge AS,WILDCAT,1982.0,DUNLIN GP           ,Train
25/3-1,25/3-1,59.931385999999996,2.772594,Elf Petroleum Norge AS,WILDCAT,1989.0,STATFJORD GP        ,Train
25/4-5,25/4-5,59.567986,2.194225,Elf Petroleum Norge AS,APPRAISAL,1981.0,SMITH BANK FM       ,Train
25/5-1,25/5-1,59.729775,2.570406,Elf Petroleum Norge AS,WILDCAT,1987.0,NO GROUP DEFINED    ,Train
25/5-4,25/5-4,59.609228,2.475575,Elf Petroleum Norge AS,WILDCAT,1991.0,STATFJORD GP        ,Train
25/6-1,25/6-1,59.525567,2.800575,Saga Petroleum ASA,WILDCAT,1986.0,BASEMENT            ,Train
25/6-2,25/6-2,59.561064,2.8204,Saga Petroleum ASA,WILDCAT,1992.0,DRAKE FM            ,Train
25/6-3,25/6-3,59.700842,2.9239,Den norske stats oljeselskap a.s,WILDCAT,1999.0,HARDRÅDE FM         ,Train
25/7-2,25/7-2,59.27460799999999,2.207247,Conoco Norway Inc.,WILDCAT,1990.0,SLEIPNER FM         ,Train
